municipio,populacao_2021,densidemo_2010,IDHM_2010,receitas_2017,despesas_2017,PIBpercapita_2019
Abaiara,11965,"58,69","0,628","29043,96353","26827,90366","8051,85"
Acarape,15140,"98,52","0,606","38762,5354","36800,46805","9544,34"
Acara£,63556,"68,31","0,601","132656,38793","109899,29715","11329,55"
Acopiara,54687,"22,58","0,595","153148,70946","125356,16693","8527,43"
Aiuaba,17584,"6,66","0,569","37794,63071","33776,93227","7438,27"
Alcƒntaras,11846,"77,71","0,6","28047,7779","28990,81921","6976,04"
Altaneira,7712,"93,54","0,602","31688,0261","24034,7098","7703,87"
Alto Santo,16077,"12,22","0,601","40704,75209","35934,2694","10677,98"
Amontada,44195,"33,27","0,606","104596,02325","100940,29595","11911,02"
Antonina do Norte,7402,"26,85","0,599","21091,60042","19508,59033","8761,76"
Apuiar‚s,14742,"25,54","0,618","43151,1677","36822,04468","7802,14"
Aquiraz,81581,"150,5","0,641","244006,6155","197501,39598","32792,37"
Aracati,75392,"56,32","0,655","227561,34007","185621,26216","18818,74"
Aracoiaba,26600,"38,67","0,615","66969,90402","70353,85927","8688,06"
Ararend ,10983,"30,49","0,59","30233,21546","28244,06253","7749,56"
Araripe,21707,"18,81","0,564","69217,32083","59671,85451","7875,07"
Aratuba,11759,"100,44","0,622","49123,73328","31633,95958","10593,58"
Arneiroz,7848,"7,17","0,618","11,50649","20466,42208","7500,79"
Assar‚,23537,"20,11","0,6","52234,57079","42903,24791","8396,48"
Aurora,24567,"27,73","0,605","52517,28398","46765,06558","8503,8"
Baixio,6318,"41,15","0,627","23630,68618","21367,08949","8816,46"
Banabui£,18313,"16,03","0,606","46068,89785","42192,55666","10088,09"
Barbalha,61662,"97,14","0,683","243774,85895","227251,72162","17347,6"
Barreira,22715,"79,63","0,616","49562,61395","44585,4676","8177,63"
Barro,22834,"30,22","0,599","41340,96125","39319,66277","8574,48"
Barroquinha,15069,"37,76","0,571","39700,27383","35936,40334","7352,07"
Baturit‚,36127,"107,98","0,619","74220,66741","67628,88549","10928,65"
Beberibe,54315,"30,37","0,638","119759,00352","114373,58263","16294,11"
Bela Cruz,32851,"36,63","0,623","54874,52308","54813,93035","8229,31"
Boa Viagem,54680,"18,51","0,598","103721,3768","98299,87318","8623,92"
Brejo Santo,50195,"68,12","0,647","170601,2427","147722,76868","13660,13"
Camocim,64147,"53,48","0,62","184054,11674","163720,78207","11306,83"
Campos Sales,27513,"24,48","0,63","72422,3074","64018,70805","9754,59"
Canind‚,77484,"23,14","0,612","208998,68705","198932,36748","11541,95"
Capistrano,17830,"76,67","0,611","44410,43366","47389,11605","8736,09"
Caridade,23011,"23,65","0,592","42361,98869","44059,92572","6854,9"
Carir‚,18470,"24,24","0,596","51159,84298","45628,31527","8861,12"
Cariria‡u,27008,"42,33","0,578","59523,756","55442,10147","7788,91"
Cari£s,18700,"17,49","0,597","43117,00843","38533,8984","7731,54"
Carnaubal,17763,"45,9","0,593","44400,99881","39292,32944","7459,82"
Cascavel,72706,"78,99","0,646","157576,13841","146954,71201","12816,78"
Catarina,21041,"38,5","0,618","48412,85619","40082,53852","5749,66"
Catunda,10410,"12,59","0,609","30300,18724","29143,06431","10937,84"
Caucaia,368918,"264,91","0,682","629854,17239","567292,53099","19147,09"
Cedro,25612,"33,79","0,627","73911,85398","51532,51825","8048,99"
Chaval,13112,"52,95","0,586","28808,14599","30309,62554","7312,88"
Chor¢,13608,"15,76","0,585","39483,61716","32665,65548","9214,67"
Chorozinho,20286,"67,94","0,604","53830,39622","47230,75267","14198,96"
Corea£,23340,"28,3","0,61","51937,11674","47475,59126","7605,58"
Crate£s,75241,"24,39","0,644","140243,49492","139963,52378","11342,87"
Crato,133913,"103,21","0,713","263007,65557","226354,59361","13315,64"
Croat ,18201,"24,49","0,59","44431,21556","43136,46883","9928,16"
Cruz,25121,"68,13","0,632","66832,45706","53862,87242","11514,09"
Deputado Irapuan Pinheiro,9698,"19,33","0,609","28587,71263","24445,95004","7643,75"
Erer‚,7254,"17,87","0,61","20139,95203","19068,06015","8013,73"
Eus‚bio,55035,"582,66","0,701","281098,31547","251597,09476","59678,97"
Farias Brito,19330,"37,74","0,633","51471,39926","44726,55491","9689,49"
Forquilha,24680,"42,14","0,644","59852,25615","55357,41569","9338,67"
Fortaleza,2703391,"7786,44","0,754","6810527,06948","6525657,82435","25254,44"
Fortim,16776,"53,15","0,624","46215,46717","41449,76087","12453,56"
Frecheirinha,14195,"71,68","0,604","44426,33149","38675,59321","19074,28"
General Sampaio,7767,"30,21","0,568","24583,97795","25385,03992","9169,88"
Gra‡a,14415,"53,39","0,57","50466,39062","45677,84743","7359,99"
Granja,55170,"19,52","0,559","107204,79999","106091,78735","7216,25"
Granjeiro,4784,"46,23","0,585","16,63519","16804,48543","9308,8"
Groa¡ras,11219,"65,59","0,633","30387,53255","28903,84396","7913,4"
Guai£ba,26508,"90,19","0,617","55147,27488","51598,99584","7815,77"
Guaraciaba do Norte,40921,"61,78","0,609","105405,88413","90370,30516","13750,88"
Guaramiranga,5073,"70,06","0,637","32183,19369","20840,76729","14492,44"
Hidrolƒndia,20126,"19,99","0,597","40945,08241","37985,57052","7669,66"
Horizonte,69688,"344,96","0,658","193783,1808","175778,48186","25238,28"
Ibaretama,13385,"14,73","0,577","28682,80626","28828,38628","8139,71"
Ibiapina,25165,"57,38","0,608","51973,94305","46606,54475","12499,61"
Ibicuitinga,12730,"26,72","0,606","32884,86905","28419,81875","8066,43"
Icapu¡,20183,"43,43","0,616","93890,53522","82328,16553","17992,33"
Ic¢,68303,"34,97","0,606","121888,3251","120450,04181","9019,17"
Iguatu,103633,"93,76","0,677","217787,90904","200741,43321","16562,4"
Independˆncia,26196,"7,95","0,632","50895,19251","47668,2617","9479,72"
Ipaporanga,11597,"16,16","0,579","31035,32593","31543,55553","7586,38"
Ipaumirim,12507,"43,86","0,606","26749,06499","26533,50603","9974,77"
Ipu,42148,"64,03","0,618","95058,00809","85477,94975","10630,67"
Ipueiras,38064,"25,63","0,573","85184,00785","78943,66079","7329,28"
Iracema,14351,"16,71","0,652","43144,92393","43284,80094","10450,22"
Irau‡uba,24450,"15,28","0,605","57618,57886","51199,17333","7805,48"
Itai‡aba,7904,"34,49","0,656","24405,74731","21829,31688","8755,57"
Itaitinga,38661,"236,51","0,626","100395,80561","91053,8776","19036,94"
Itapaj‚,53448,"110,01","0,623","113391,49212","101400,18181","12151,92"
Itapipoca,131687,"71,9","0,64","268626,66471","239926,54933","12969,77"
Itapi£na,20653,"31,64","0,604","65456,73673","45448,28476","7155,92"
Itarema,42595,52,"0,606","100102,24161","93239,96143","14717,77"
Itatira,22018,"24,12","0,562","76025,83975","60600,42204","6323,87"
Jaguaretama,18133,"10,15","0,612","49201,83037","35976,64248","9383,55"
Jaguaribara,11580,"15,55","0,618","28167,84306","26656,01281","11119,86"
Jaguaribe,34592,"18,33","0,621","85507,21442","82644,15907","14728,93"
Jaguaruana,33960,"37,16","0,624","69049,41624","69046,51936","14080,15"
Jardim,27187,"48,31","0,614","58468,86665","52203,50615","8497,98"
Jati,8150,"21,21","0,651","32089,96358","28222,35564","13889,97"
Jijoca de Jericoacoara,20351,"83,02","0,652","62313,16657","60923,78966","24924,54"
Juazeiro do Norte,278264,"1004,45","0,694","672950,28823","522709,24412","17772,55"
Juc s,24949,"25,4","0,598","55718,34201","53527,80103","9843,98"
Lavras da Mangabeira,31476,"32,8","0,613","67220,81129","56816,99038","8650,81"
Limoeiro do Norte,60232,"74,91","0,682","115645,24638","106746,35266","17569,97"
Madalena,20031,"17,48","0,61","41301,98044","39124,62753","7184,54"
Maracana£,230986,"1960,25","0,686","724429,98265","657108,09501","42778,34"
Maranguape,131677,"192,19","0,659","197385,57777","193904,06851","11897,88"
Marco,27822,"43,03","0,612","64664,2363","57587,68763","12190,47"
Martin¢pole,11407,"34,16","0,599","30155,02181","29615,54391","7147,23"
Massapˆ,39341,"62,11","0,616","101272,15812","81630,43037","7619,69"
Mauriti,48370,"42,15","0,605","88623,54391","87085,54274","8777,58"
Meruoca,15309,"91,38","0,618","40227,84038","35949,35702","7347,83"
Milagres,27413,"46,69","0,628","62154,81674","53491,71754","8754,93"
Milh„,13129,"26,05","0,626","35731,74713","31509,00394","10684,16"
Mira¡ma,13965,"18,29","0,592","31540,70901","31469,47985","6643,01"
Miss„o Velha,35566,"53,08","0,622","75644,0299","68822,84345","13325,51"
Momba‡a,43917,"20,14","0,582","82316,49363","75706,9863","7825,89"
Monsenhor Tabosa,17264,"18,85","0,61","44058,07424","43438,91752","8194,74"
